,Discussion Title,Author,Body,Likes,Date,Time
16,"
      Asking for Best Practice in Coxtex XDR Pro (for Endpoint and for TB)
    ",hpatel11,Are you looking for any specific modules? I'm not pro but I can help.,0,04-15-2022,06:57 AM
17,"
      MGT GPVPN priority
    ",slick,You would want to create a loopback interface for this purpose. Something like this.,0,04-11-2022,02:19 PM
18,"
      Have a PA-3250 firewall on version 10.0.1 What would be the most stable version to upgrade to?
    ",avelK,Thank you for the post@cedwards1316as of now 10.0.9 is preferred version:https://live.paloaltonetworks.com/t5/customer-resources/support-pan-os-software-release-guidance/ta-...Kind RegardsPavel,0,03-27-2022,05:07 AM
19,"
      Need assistance for  BGP session monitoring  using SNMP
    ",avelK,"Thank you for posting question@dasaradhi_n1To my knowledge there is no MIB to support pulling of BGP statistics by SNMP.As an alternative, there are a few options. It is possible to use SNMP Traps to get alerted when BGP session goes down:https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA14u000000HBfzCAG&lang=en_US%E2%80%A...Or use an email alert with the filter:( subtype eq routing ) and ( eventid eq routed-BGP-peer-left-established )Or use API to retrieve BGP session information.Kind RegadsPavel",0,10-06-2021,02:16 PM
20,"
      Need assistance for  BGP session monitoring  using SNMP
    ",dasaradhi_n1,Thank you Pavel for the help,0,03-10-2022,08:24 PM
21,"
      VM-100 VM-SERIES FOR KVM on OpenStack
    ",sthornton,This number will change based on the amount of memory on the instance. Here is a datasheet that shows the breakdowns.https://www.paloaltonetworks.com/apps/pan/public/downloadResource?pagePath=/content/pan/en_US/resour...,0,03-08-2022,09:47 AM
22,"
      Migrate NAT policies from ASA to Palo Alto
    ",TomYoung,"Hi @HKoppuravori ,It looks like your dilemma is the same as this one -> https://live.paloaltonetworks.com/t5/general-topics/source-and-destination-nat-using-2-different-nat.... The non-elegant solution to solve the problem was to route the traffic outside the firewall and back in. I don't think a single session can match multiple NAT statements.I think it would be a good feature request. The process would be to reach out to your PANW SE. https://live.paloaltonetworks.com/t5/blogs/how-to-use-palo-alto-networks-new-feature-request/ba-p/40...Thanks,Tom",1,02-24-2022,02:40 PM
23,"
      Migrate NAT policies from ASA to Palo Alto
    ",HKoppuravori,Thank you@TomYoung,1,02-28-2022,06:38 AM
24,"
      How to Nat Site2 WebHosting when Webhosting is nat to Site1 Only
    ",OtakarKlier,"Hello,In this scenario, I would not use a NAT. Just policies to allow the users to get to the IP of the web server.Regards,",0,01-31-2022,01:13 PM
25,"
      How to Nat Site2 WebHosting when Webhosting is nat to Site1 Only
    ",NavidAlam,But what would be Policy in that Case ( Site 2 want to access Web Host) though Site 1 without direct s2s vpn tunnel to web host.As Site 1 is accessing though s2s to client web host?,0,02-15-2022,07:07 AM
26,"
      Whats the best way to do URL filtering? Security Policy Service/URL Category or Actions > Profile Setting > URL Filtering?
    ",OtakarKlier,"Hello,The way I have done it is by Active Directory group mappings. This way all you have to do is drop a user into the proper group and they should hit the appropriate URL filter policy.So basically you would have 3 different objects and assign those objects to a custom policy used for outbound traffic.https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000ClmgCACI use Exchange logs for the user-id mapping since Outlook is open on everyones machine:https://docs.paloaltonetworks.com/pan-os/10-1/pan-os-admin/user-id/user-id-conceptsHope this helps.",0,02-03-2022,02:40 PM
27,"
      Whats the best way to do URL filtering? Security Policy Service/URL Category or Actions > Profile Setting > URL Filtering?
    ",ksauer507,"Not sure what I'm doing wrong here. I'm trying to order the policies so they hit. Everyone is a domain user but I'd think if your in the information technology or ig-socialnetworing AD groups you'd hit on policy 15, which is tied to a URL filtering policy that has all the good internet, including social media - minus bad stuff.Then if your a lower tier employee and in AD group ig-restricted internet, I'd think you would hit on policy 16 here which is tied to a URL policy that blocks almost everything, except a few things needed for Adobe Acrobat and Office/Azure SAML (computers and info, low risk) and a few things we think is ok like news, financial, health and wellness.Last is domain users. This should be a safety net. Everyone is a domain user. If you didn't already hit on 15 or 16, you should hit on this policy right? This gives all the good internet except for social media. No timewasting twitter and facebook for these people.However, I'm testing with a user that is in restricted-intenret group and he can still get to shopping and auctions - all stuff denied in policy 16 above... but facebook and twitter are blocked. He's falling under policy 17 which is true, he is a domain user, except he's also in ig-restrictedintenret. Shouldn't he have hit on that policy and have been blocked from those sites there?Thanks for your assistance!",0,02-04-2022,02:43 PM
28,"
      Whats the best way to do URL filtering? Security Policy Service/URL Category or Actions > Profile Setting > URL Filtering?
    ",OtakarKlier,"Hello,Those policies look correct. Are the users getting mapped to IP address? Also are the groups in the PAN lists to be looked up?Regards,",0,02-04-2022,02:59 PM
29,"
      Whats the best way to do URL filtering? Security Policy Service/URL Category or Actions > Profile Setting > URL Filtering?
    ",ksauer507,"Yes user-id is working and in traffic logs show the test users name, but it’s hitting on policy 17.The AD group ig-restrictedinternet is in the available drop down when building the policy, so I would think it’s sync’d from AD, but I’ll double check that on Monday.",0,02-04-2022,06:01 PM
30,"
      Collect Separate CEF log files on the Syslog server for the log rotate
    ",OtakarKlier,"Hello,This setting should be on the SIEM. This is how we have ours set. Not sure about Azure Sentinel however.Regards,",0,01-03-2022,12:46 PM
31,"
      Zone Protection Best Practice Query
    ",OtakarKlier,"Hello,I would enable a zone protection policy on the inside trust zones. I however have a separate zone protection policy that the external one. This way I can enable/disable features that are causing issues.Hope this helps.",0,01-03-2022,12:44 PM
32,"
      Vulnerability & Anti Spyware Profile Best Practice
    ",OtakarKlier,"Hello,I have a few that I have had to bypass as well. What I typically do if find out what is getting blocked, create a Spyware policy that excludes that definition, and then apply that one to the policy.Hope that helps.",0,01-03-2022,12:43 PM
33,"
      BPA Tool False Positives In Shared Versus Vsys1
    ",almargaris,"Hello, can you please submit a support ticket and attach your Tech Support File so that we can investigate what may be the cause of this issue? Once you have done so, please email the support ticket number to bpa@paloaltonetworks.comThanks,Alex",0,08-30-2021,08:43 AM
34,"
      BPA Tool False Positives In Shared Versus Vsys1
    ",Tasmanian_Dv,Any resolution to this?,0,12-10-2021,12:49 PM
35,"
      BPA Tool False Positives In Shared Versus Vsys1
    ",hewiufhwefhwe,"No, I couldn't get any response whatsoever.",1,12-10-2021,12:54 PM
36,"
      Nating with second public ip
    ",batd2,@jagannathkaleMaybe you can share some config snippets/screenshots to better understand the issue?,0,12-09-2021,07:37 AM
37,"
      Global protect port
    ",ShaiW,HiHere is a rather old article about this:https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000ClGKCA0I hope it helps you 🙂Shai,0,12-01-2021,04:25 AM
38,"
      Add URL for SSL Decryption from Panorama for multiples device
    ",ShaiW,"HiI think the easiest way to do this is to use a 'Custom URL Category' object (under 'objects' tab) and place the URLs there one by one.Then in the SSL decryption policy you can call this URL Category.You can create this object as 'shared' by placing a check mark when creating the object. A Shared object is visible on ALL firewalls.Or you can create this object in a Parent Device Group and it will filter down to all child device groups and firewalls.If you are referring to SSL decryption exclusion - then add them under a template in 'Device'->'Certificate Management'->'SSL Decryption Exclusion' and again place a check mark on 'shared' so all firewalls will receive these.Note that you need the firewalls to be Panorama managed for above to work.Hope this helps,Shai",0,11-11-2021,07:06 AM
39,"
      Add URL for SSL Decryption from Panorama for multiples device
    ",Alpalo,"Hello,and another questioncan we have several templates for different configurations or can only 1 device be associated to 1 template?On the other hand if I delete the template from the panorama the configuration applied to the device members of that template is deleted?Thank you",0,11-12-2021,04:19 AM
40,"
      Add URL for SSL Decryption from Panorama for multiples device
    ",ShaiW,"HiA device, or devices, are associated to template stacks. Template/s are associated to a template stack. All template values are pushed to the device/s. In this manner you can have a template for general values and another one more specific and they will combine to one set of values on the device.On a firewall under device->setup->Panorama you can delete it's panorama association and choose to save a local copy of the values or not. Note that if you do this you'll have to re-associate it to the Panorama later if more changes needed.If you delete template values the firewall/s associated to the template will have the values deleted from them.Shai",1,11-13-2021,10:46 PM
41,"
      dyndns configuration with palo alto 850
    ",OtakarKlier,"Hello,I found this, perhaps it can help?https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000ClslCACRegards,",0,10-18-2021,07:55 AM
42,"
      Upgrade peer to respective version
    ",avelK,"Thank you for the post@VLimYou technically do not have to install base images 9.1.0, 10.0.0 and 10.1.0. The only requirement is this image should be downloaded and you should instead install latest maintenance release of each major version. In this case the upgrade path is: Download 9.1.0 > Install 9.1.11 > Download 10.0.0 > Install 10.0.7 > Download 10.1.0 > Install 10.1.2.Regarding your plan to upgrade secondary Firewall to target version 10.1.2, it is possible, but not recommended. Please refer to this KB:https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000ClRrCAKPoint No. 4Firewall Upgrade Procedure (HA).Kind RegardsPavel",0,10-12-2021,05:08 AM
43,"
      Use Header value in Policy to match it
    ",SutareMayur,"Hi@d.spider,Yes, there is a way in palo alto where it can read XFF field and use the XFF IP address in the security policy to allow/block the traffic.This is possible in PANOS v10.You can refer below article for the configuration steps.Ref. Article1Ref. Article2NOTE- If traffic on the firewall is coming as encrypted traffic e.g.SSL request, palo alto firewall won’t be able to understand the request and so it can’t read the header unless decryption is enabled on the firewall.If you have same case, you need to enable decryption for the specific inbound traffic which will enable palo alto to decrypt the specific traffic and read header.Hope it helps!",0,10-05-2021,01:18 AM
44,"
      Use Header value in Policy to match it
    ",d.spider,Thank you for your response. That’s great to know that it’s possible. I will check and update you.,0,10-05-2021,01:57 AM
45,"
      Use Header value in Policy to match it
    ",SutareMayur,"Hi@d.spider,Also while asking question if you are unsure about the right category or not seeing exact category, you can ask it under Discussions👉General Topics section.",1,10-05-2021,02:10 AM
46,"
      Use Header value in Policy to match it
    ",d.spider,"Hi Mate,I have gone through articles shared by you and also researched few other related articles, it seems that with that given configuration my requirement should be fulfilled. Thank you for your help. Appreciate it.",0,10-05-2021,10:38 AM
47,"
      Use Header value in Policy to match it
    ",SutareMayur,Hi@d.spiderGlad to know that it helped you. Could you please mark this question as solved by clicking Accept as Solution so it will be easy reference for others in future. Thanks!,0,10-05-2021,11:01 PM
48,"
      Use Header value in Policy to match it
    ",d.spider,"I don’t know if I did that correctly. I saw few other posts and it is expected to select as solution for the post which solved the query. I guess I selected the wrong post as a solution earlier. After realisation, selected correct post as a solution. As a new joiner to the community, I am just trying to understand how it works. 🙂",0,10-06-2021,01:46 AM
49,"
      Failed to renew device certificate. Failed to send request to CSP server.
    ",avelK,"Thank you for the post@Jason_TongDevice Certificate is not supported in PAN-OS 8.1 yet. If you try to provision a Device Certificate from Panorama by sending: Request OTP from CSP, then you should see that field for Device Certificate is empty:This is probably reason why you are getting this error. After you upgrade your managed Firewall to version 9.1, you should be able to provision Device Certificate.Kind RegardsPavel",0,09-27-2021,04:04 AM
50,"
      Failed to renew device certificate. Failed to send request to CSP server.
    ",Jason_Tong,Thank you for reply.We verity the rule find out.The url has different.Old:certificate.paloaltonetworks.comNew:certificatetrusted.paloaltonetworks.comBut we see the correct IP is - 35.238.43.180Two URL is the same?,0,09-27-2021,06:24 AM
51,"
      Failed to renew device certificate. Failed to send request to CSP server.
    ",avelK,"Thank you for reply@Jason_Tongand sorry for getting back to you with delay.I tried to replicate your environment to reproduce the issue. First of all I gave you misleading information in my earlier reply. Device Certificate is indeed supported in later maintenance releases of PAN-OS 8.1. In my case after I installed PAN-OS 8.1.20, I was able to see under: Setup > Management > Device Certificate the option to enroll Device Certificate.In my Lab environment, I did not have an issue to requestDevice Certificate, so unfortunately I was not able to reproduce it, however I could confirm that this traffic goes over management interface unless you configured: Service Route. In order to troubleshoot this further, could you take packet capture on management interface while while you provision Device Certificate:https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000CleECAS?Are you facing the same issue when you request Device Certificate locally from Firewall instead through Panorama?Kind RegardsPavel",0,10-04-2021,04:13 PM
52,"
      PA 3250 HA Pair bgp peering
    ",avelK,"Thank you for the post@Matt.Smith123I am running the identical design in multiple sites. We are also using a pair of Nexus 9K with HSRP. The only difference is, we do not run a vPC between Nexus 9K and PA Firewalls. We have established BGP peering from PA Firewall to each of the Nexus. On each of the Nexus the BGP peer is terminated on Vlan interface where we also run HSRP. We have also BGP peer between each of the Nexus.For running eBGP over vPC, there are a few caveats. Please check below article, refer to section: ""Several problems are posed when trying to enable routing protocol peering over a vPC""https://www.cisco.com/c/en/us/support/docs/ip/ip-routing/217099-ebgp-peering-over-vpc-on-nexus.htmlKind RegardsPavel",2,09-22-2021,05:36 AM
53,"
      PA 3250 HA Pair bgp peering
    ",TomYoung,"Hi @Matt.Smith123 ,This is the design guide for Nexus VPCs -> https://www.cisco.com/c/dam/en/us/td/docs/switches/datacenter/sw/design/vpc_design/vpc_best_practice.... Even though it says N7K, the concepts apply to all Nexus (although it's best to double check your specific model). For years, the recommended design for L3 connections was not VPC, but L3 links. Only recently has support been added for L3 over VPC. So, @PavelK 's design is the tried and true design for years. The URL has much info about L3 links to Nexus.Thanks,Tom",2,09-22-2021,06:23 AM
54,"
      PA 3250 HA Pair bgp peering
    ",Matt.Smith123,Hi bothThanks for the feedback. Tom - I will have a read with regard to the VPC documentation. Hoping to lab this up when I get an opportunity.Regards,1,09-24-2021,04:58 AM
55,"
      Panorama 9.1.10 can push config to PA-5020/5050 version 7.1.12?
    ",avelK,"Hi@Jason_Tongthank you for posting question.1. I never used exactly the same versions as you stated, but on numerous occasions I have pushed configuration from Panorama version 9.1 to managed Firewall running 7.1. In general, there is no issue, however I have hit a few minor issues, but those have not stopped me from using it. If there is any specific issue you are facing, could you elaborate more?Please note that PAN-OS 7.1 is already EOL and you should move to 8.1 which is highest supported version for PA-5020/5050.2.  Yes, Panorama has to be licensed to by fully functional. In the past, when I was working with Lab environment, I have reached my PAN contact to get short term temporary license to complete my verification.3. Panorama has to be licensed regardless of the version. The license is bound to S/N and not IP address. The license itself is called Device Management License and has the number of managed Firewalls you can have.For example if you are deploying M-600, then with license:PAN-M-600-P-1K you can manage up to 1000 firewalls.For example if you are deploying VM version,then with license:PAN-PRA-1000you can manage up to 1000 firewalls.I believe that smallest license you can have is for 25 Firewalls. Please note that dedicated log collector has to be licensed as well.I hope this answers your questions.Kind RegardsPavel",0,09-08-2021,09:07 PM
56,"
      Zone Heat Map Showing 0% DNS Sinkhole Adoption Between Two Zones
    ",slick,"Two possible issues here. Please make sure you have in your rule hierarchy towards the top a rule of application going to the predefined Sinkhole IPv4 and IPv6 address object set to allow with logs or block depending on your security posture (as noted, best practice is block).Second, inside your Antispyware profile and DNS signatures, all those should be set to sinkhole as these are known or determined bad DNS requests.",0,09-07-2021,09:58 AM
57,"
      Zone Heat Map Showing 0% DNS Sinkhole Adoption Between Two Zones
    ",hewiufhwefhwe,"I have Sinkhole as the 3rd rule. I will try making destination zone any from untrust. I manually listed every zone for source zone, because it caused a false positive on zone protection adoption rate if you use any on any security policy rule.Anti-spyware already is using sinkole and single-packet capture or extended-capture for listed options on DNS security",0,09-08-2021,07:03 AM
58,"
      Zone Heat Map Showing 0% DNS Sinkhole Adoption Between Two Zones
    ",hewiufhwefhwe,"Still having the same issue. If I go to Adoption Heatmap -> Tags, it's blocklists and denies that show up with 0% DNS Sinkhole adoption. There are some other policies with 57-86% adoption rate, and every single policy has the same anti-spyware policy.",0,09-08-2021,08:05 AM
59,"
      Zone Heat Map Showing 0% DNS Sinkhole Adoption Between Two Zones
    ",slick,"That's interesting. I wonder if there's some logic in there that since the traffic is explicitly denied, it can't actually be scanned by AV/AS/VP so it will show as not best practice. I can't say I've seen that error before, super strange.",0,09-08-2021,11:56 AM
60,"
      Groups and SuperGroups
    ",slick,"Ian,No documented changes in performance here, but firewalls do have maximum rulesper device.I do have an opinion/preference on this, though. Having the single list items from a troubleshooting/debug perspective makes your life easier. Also from a reporting perspective, if I needed to see all traffic touching a particular rule, having it more granular allows for more focused, quicker investigations.Using options 1 or 2 in the above case means I won't be able to find out which devices are touching which rules. If I lump EDLs or regions together, I just see the rule is hit.If your network team comes to you with a ticket of some servers having stability and reachability issues, if you have a really pervasive outbound rule, it could muddy the water some. Hope this helps!",0,09-07-2021,10:21 AM
61,"
      Looking to upgrade Panorama and firewalls from 9.1.5 to 10.0.6
    ",batd2,"@StevenBahnsen1. Yes, you chose the software matching your firewall model2. I think you are looking at the wrong section. ""Panorama Tab>Software"" -> upgrade Panorama; ""Panorama Tab>Device Deployment>Software"" -> upgrade managed firewalls.",2,08-26-2021,01:45 AM
62,"
      Looking to upgrade Panorama and firewalls from 9.1.5 to 10.0.6
    ",slick,"+1 to the above. You need to upgrade the software tab of Panorama. If you are on 9.1.5 you will upgrade to 10.0, and then 10.0.5.Once successful, then you are able to follow the same process to managed devices.",0,09-07-2021,10:13 AM
63,"
      Zone Protection Any to Any and Any to Untrust
    ",hewiufhwefhwe,"It's impossible to get 100%. I figured out the bug, and it is impossible to get 100%. You have to change every single Source Zone that is Any replacing it will each zone. Once you do that, intrazone-default and interzone-default still show up with Zone Protection Profile not enabled.",0,08-27-2021,06:20 PM
64,"
      Is possible to get 100% Zone Protection Adoption?
    ",hoenix,,0,05-14-2020,10:27 AM
65,"
      Is possible to get 100% Zone Protection Adoption?
    ",Carlos_N,"Hi Phoenix,Yes all zones have zone protection profiles applied. I have shared the reports tobpa@paloaltonetworks.com.Thanks",0,05-14-2020,02:19 PM
66,"
      Is possible to get 100% Zone Protection Adoption?
    ",hewiufhwefhwe,"I've had the same issue for a long time, and just created a post for a similar issue. The BPA tool may be given a false positive for Source Zone Any to Destination Zone Any and Untrust. Feels like a software bug. I have several similar issues I am trying to resolve.",0,08-27-2021,04:13 PM
67,"
      Is possible to get 100% Zone Protection Adoption?
    ",hewiufhwefhwe,"Funnily enough, I think I traced half of the exceptions to rules created to satisfy the Best Practice Assessment (based on PA's documentation) such as Sinkhole, Drop Inbound PANW Malicious IP, Drop Outbound PANW Malicious IP, BPA SSH Proxy, etc.",0,08-27-2021,04:50 PM
68,"
      Is possible to get 100% Zone Protection Adoption?
    ",hewiufhwefhwe,"It's impossible to get 100%. I figured out the bug, and it is impossible to get 100%. You have to change every single Source Zone that is Any replacing it will each zone. Once you do that, intrazone-default and interzone-default still show up with Zone Protection Profile not enabled.",0,08-27-2021,06:19 PM
69,"
      Adoption rate for DNS security showing 0% in BPA tool
    ",Deepak25,"issue resolved. Changed action from block to sinkhole in Anti-spyware profiles and push through panorama.Now in new BPA report showing 100% adoption rate for DNS security.In Panos 10.0 , anti-spyware include multiple DNS-security categories with default actions. Changed those actions to sinkhole and worked.",0,07-11-2021,02:39 AM
70,"
      Adoption rate for DNS security showing 0% in BPA tool
    ",hewiufhwefhwe,"I've been stuck at 77% post-upgrade. If I go to Anti-Spyware -> DNS Policies -> I have sinkhole for every source listed. Under signature policies, I have reset-both with single-packet capture for medium severity to critical severity and default for informational and low severity. Are you using different settings?",0,08-27-2021,03:00 PM
71,"
      Office 365 Deployment
    ",OtakarKlier,"Hello,I always recommend the least privileged method, meaning only allow what has to be. So I would put in a policy that allows traffic to o365 IP's/URL's with only the required applications:https://docs.microsoft.com/en-us/microsoft-365/enterprise/urls-and-ip-address-ranges?view=o365-world...I know its a generic answer but its a big wide question.Regards,",0,07-26-2021,10:12 AM
72,"
      Office 365 Deployment
    ",chwallace,"I want to add a link to the Microsoft 365 Deployment Guide, in case it is helpful for anyone else viewing this question.Deployment Guide for Securing Microsoft 365 - Palo Alto Networks",0,08-11-2021,03:24 PM
73,"
      Office 365 Deployment
    ",hewiufhwefhwe,lock office365 down to your domain in url filtering,0,08-27-2021,02:52 PM
74,"
      Looking for audit software that can show if one object is not used in FW rule.
    ",TomYoung,"It looks like Firemon can do it. I have never used it because it is pricey.https://www.firemon.com/detox-step-2-remove-unused-access/""it is possible to identify most used rules, which objects are used in a rule""Algosec also makes a similar expensive tool. So does Tufin. You would have to research the features. Google ""firewall nspm"".",2,08-24-2021,06:07 AM
75,"
      Looking for audit software that can show if one object is not used in FW rule.
    ",WRosenberry,Thanks Tom. I have been in touch with Firemon and it sounds like a great product.,0,08-24-2021,07:04 AM
76,"
      Panorama and Firewall Upgrade path from 9.1.6 to 10.0.5
    ",OtakarKlier,"Hello,This should help you out. Backup and upgrade the Panorama first.https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-new-features/upgrade-pan-os.htmlRegards,",0,06-16-2021,12:11 PM
77,"
      Update S.O PAN 8.11/9.0.12
    ",OtakarKlier,"Hello,This should help you out.https://docs.paloaltonetworks.com/pan-os/9-0/pan-os-new-features/upgrade-to-pan-os-90/upgrade-the-fi...Regards,",0,06-16-2021,12:09 PM
78,"
      Url Filtering and DNS Sinkhole adoption is incorrect on report
    ",aji_toor,"Haven't checked URL filtering yet but Sinkhole is configured on all profiles and all rules are using them, even the ones that are coming as no in report..It was confusing and ended up running the test 3 times.",0,04-22-2021,03:56 PM
79,"
      Url Filtering and DNS Sinkhole adoption is incorrect on report
    ",Carlos_N,"Hi Raji, yes it is very confusing. How can I get formal support on this. I need to send bpa@paloaltonetworks.comthe reports but my Antispam is not letting.",0,04-26-2021,01:50 PM
80,"
      Url Filtering and DNS Sinkhole adoption is incorrect on report
    ",aji_toor,@Carlos_N I sent them yesterday with screenshots but did not get a response yet.,0,04-26-2021,03:09 PM
